No.6
time,x,y,z,rx,ry,rz,x_dot,y_dot,z_dot,wx,wy,wz,ax,ay,az,arpha_x,arpha_y,arpha_z,ex,ey,ez,erx,ery,erz

0.004,0.504995,-0.00163372,0.175901,-0.0111734,3.10266,-0.0284596,0.000265092,0.00365019,-0.000751687,0.000622834,0.00230528,-1.82401e-05,1.66491,4.81036,4.09062,0.0482717,0.188787,0.0100462,0.00569045,-0.00135442,0.0365692,-0.0104902,-0.0396228,0.00034359,
0.073,0.50494,-0.00161793,0.175675,-0.0111635,3.10283,-0.0284113,0.000218467,0.00367688,-0.000972967,0.000697439,0.00321512,-0.000141673,1.34243,4.0956,3.1645,0.040036,0.0845574,0.0244997,0.0056346,-0.00133863,0.0363433,-0.0104586,-0.0394511,0.000336134,
0.14,0.504881,-0.00160476,0.17544,-0.0111502,3.10305,-0.0283119,4.53398e-05,0.00319177,-0.00134339,0.00116466,0.00353631,2.85477e-05,1.52985,4.77733,3.65823,-0.0143137,0.0438717,0.00476569,0.00557586,-0.00132546,0.0361087,-0.0103941,-0.0392384,0.000326245,
0.205,0.504821,-0.00158854,0.1752,-0.0111532,3.10329,-0.0281863,-0.000166895,0.00240495,-0.00184892,0.00136798,0.00355013,0.000205313,1.44106,4.30969,3.44026,-0.0376452,0.0391469,-0.0150241,0.00551578,-0.00130924,0.0358685,-0.0103126,-0.0390021,0.000326655,
0.27,0.504756,-0.00157479,0.174942,-0.0111713,3.10357,-0.0281041,0.000347241,0.00393839,-0.00060859,0.000885763,0.003944,0.000133821,1.54877,4.66262,3.70789,0.0159002,-0.00809295,-0.00750943,0.00545096,-0.00129549,0.0356099,-0.010259,-0.0387165,0.000336567,
0.334,0.504699,-0.00155842,0.174713,-0.0111858,3.10382,-0.0280126,7.11319e-05,0.00304035,-0.00128446,0.00108512,0.00383797,0.000206347,1.49542,4.43796,3.55068,-0.00755103,0.00117133,-0.0157193,0.00539425,-0.00127912,0.035381,-0.0101995,-0.0384645,0.000344299,
0.397,0.504639,-0.00154561,0.17447,-0.011207,3.10409,-0.0279084,0.000307764,0.0038747,-0.000706673,0.00112177,0.00387273,0.000247807,1.52202,4.72165,3.62869,-0.0126458,-0.00581287,-0.0209386,0.00533361,-0.00126631,0.0351388,-0.0101318,-0.0382013,0.000356332,
0.46,0.504585,-0.0015315,0.174252,-0.0112242,3.10434,-0.0278245,0.000421451,0.00417256,-0.000428803,0.000829278,0.00396981,0.000159599,1.56289,4.81258,3.72961,0.0203682,-0.0198926,-0.0110713,0.00527992,-0.0012522,0.0349205,-0.0100772,-0.0379534,0.000365861,
0.522,0.504531,-0.00152133,0.174033,-0.0112277,3.10457,-0.0277196,0.00012288,0.00315559,-0.00116008,0.000997502,0.00375343,-8.21418e-05,1.41307,4.24644,3.33938,0.000194982,0.00234222,0.0164625,0.00522557,-0.00124203,0.0347016,-0.0100091,-0.0377221,0.000366611,
0.586,0.504476,-0.00150775,0.173812,-0.0112207,3.10481,-0.0276218,0.00212079,0.00900229,0.0036351,0.00113882,0.00369038,-1.62065e-05,1.30924,3.87597,3.12455,-0.0201814,0.0082642,0.0109267,0.00517098,-0.00122846,0.0344801,-0.0099456,-0.037483,0.00036063,
0.655,0.50442,-0.00149167,0.173582,-0.0112237,3.10506,-0.0275191,-2.78907e-05,0.00257337,-0.0015037,0.00117492,0.00361106,5.44968e-05,1.50346,4.37241,3.55984,-0.0210624,0.0127329,0.000851007,0.0051147,-0.00121238,0.0342504,-0.00987889,-0.0372331,0.000360979,
0.718,0.504363,-0.00148242,0.173355,-0.0112399,3.1053,-0.0274098,0.000389695,0.00378811,-0.00051833,0.000792016,0.00380795,0.000106107,1.58165,4.63158,3.73501,0.0214487,-0.0122215,-0.00521667,0.00505828,-0.00120312,0.034023,-0.00980802,-0.0369951,0.000369881,
0.781,0.5043,-0.00147889,0.173104,-0.0112513,3.10555,-0.0272958,2.63673e-05,0.00264251,-0.00132796,0.00163663,0.00334319,0.000132987,1.46663,4.1991,3.53817,-0.0745413,0.0372949,-0.00825744,0.00499507,-0.0011996,0.0337725,-0.00973407,-0.0367404,0.000375649,
0.842,0.504246,-0.00146625,0.172884,-0.011256,3.10579,-0.0272,0.000987618,0.00557692,0.000868245,0.000737434,0.00378194,-6.21843e-05,1.4428,4.29491,3.37926,0.0276631,-0.0157416,0.0146422,0.00494124,-0.00118695,0.0335524,-0.00967185,-0.0365034,0.000377166,
0.906,0.504191,-0.00145416,0.172656,-0.0112625,3.10603,-0.0270866,-3.88638e-05,0.00250504,-0.00153516,0.0010484,0.00357409,0.00019512,1.50137,4.48592,3.50871,-0.0100294,0.00600068,-0.0152962,0.00488561,-0.00117487,0.0333242,-0.00959839,-0.0362627,0.000379826,
0.975,0.50414,-0.00144527,0.172448,-0.011275,3.10625,-0.0269774,0.000634613,0.00441349,5.95194e-05,0.000951735,0.00367222,4.27645e-05,1.63289,4.78658,3.83458,-5.98153e-05,-0.00765401,0.00158547,0.0048346,-0.00116597,0.0331162,-0.00952762,-0.0360452,0.000386505,
1.038,0.504088,-0.00142609,0.172233,-0.0112804,3.10649,-0.0268855,0.000529629,0.00410772,-0.000187959,0.000900391,0.00362638,0.00013535,1.47605,4.35532,3.46008,0.00521777,-0.00513614,-0.00927054,0.00478343,-0.0011468,0.0329012,-0.00946794,-0.0358049,0.000388461,
1.097,0.504039,-0.00140574,0.172023,-0.0112975,3.10673,-0.0268006,-0.000146468,0.00216101,-0.00176961,0.00120773,0.00339439,0.000182626,1.19089,3.64662,2.7894,-0.029904,0.0182993,-0.0143535,0.00473403,-0.00112644,0.0326916,-0.00941284,-0.0355666,0.000397986,
1.161,0.503976,-0.00140305,0.171772,-0.0113205,3.10698,-0.0266684,0.00379624,0.0130853,0.00742871,0.00102548,0.00353776,0.000167739,1.6166,4.55403,3.77174,-0.0141313,-0.000674686,-0.0173502,0.00467109,-0.00112376,0.0324406,-0.00932722,-0.0353159,0.000411185,
1.226,0.503914,-0.00139204,0.17152,-0.0113429,3.10727,-0.0265923,0.00092621,0.00494137,0.000752698,0.000855416,0.00367944,0.000190623,1.67418,4.68391,3.921,0.00835547,-0.0205864,-0.0165681,0.00460874,-0.00111275,0.0321879,-0.00927772,-0.035031,0.00042385,
1.291,0.503851,-0.00138583,0.17127,-0.0113656,3.10753,-0.0264828,0.00153374,0.00646142,0.0021577,0.00107328,0.00351887,0.000193029,1.65768,4.52634,3.86595,-0.0189848,-0.00496446,-0.0178685,0.00454631,-0.00110653,0.0319386,-0.00920669,-0.0347695,0.000436788,
1.361,0.503786,-0.00138088,0.17101,-0.0113894,3.1078,-0.0263589,0.000366421,0.00321701,-0.000578091,0.000963078,0.00357599,0.000200902,1.70162,4.59845,3.93998,-0.00586395,-0.0140444,-0.0175231,0.00448088,-0.00110159,0.0316786,-0.00912647,-0.034502,0.000450381,
